Lot ID,Lat,Long,Spots,EV Spots,Address
1,37.87460833,-122.285325,110,0,"North Berkeley BART Station
1750 Sacramento St
Berkeley, CA 94702"
2,37.87431111,-122.2837583,65,0,"North Berkeley BART Station
1750 Sacramento St
Berkeley, CA 94703"
3,37.87354167,-122.2840083,345,0,"North Berkeley BART Station
1750 Sacramento St
Berkeley, CA 94704"
4,37.87357778,-122.28365,116,0,"North Berkeley BART Station
1750 Sacramento St
Berkeley, CA 94705"
5,37.87419167,-122.2829639,115,0,"North Berkeley BART Station
1750 Sacramento St
Berkeley, CA 94706"
6,37.87947778,-122.2697056,21,0,"ParkSmart, Inc.
Bank of America
1536 Shattuck Ave
Berkeley, CA 94709"
7,37.87704167,-122.2627361,32,0,"Douglas Parking, LLC
Pacific School of Religion
1798 Scenic Avenue
Berkeley, CA 94709"
8,37.87189167,-122.2528389,410,1,"Imperial Parking (U.S.), LLC
Stadium Parking Garage (Impark Lot 386)
2175 Gayley Rd
Berkeley, CA 94720"
9,37.86913333,-122.2553583,28,0,"Bancroft Hotel
Bancroft Hotel
2680 Bancroft Way
Berkeley, CA 94704"
10,37.86771111,-122.2565556,15,1,"AirGarage, Inc.
Graduate Berkeley
2600 Durant Ave
Telegraph Avenue
Berkeley, CA 94704"
11,37.86794722,-122.2570889,28,0,"Douglas Parking, LLC
Perry Lot
2542 Durant Ave
Berkeley, CA 94704"
12,37.86688889,-122.2595583,420,1,"LAZ Parking Limited, LLC
Telegraph Channing Garage
2450 Durant Ave
Southside
Berkeley, CA 94704"
13,37.86823056,-122.2623,37,0,"Douglas Parking, LLC
United Methodist Church - Trinity Lot
2362 Bancroft Way
Berkeley, CA 94704"
14,37.86730278,-122.2622417,65,0,"Douglas Parking, LLC
First Congregational Church of Berkeley
2345 Channing Way
Berkeley, CA 94704"
15,37.86875,-122.2667056,99,1,"LAZ Parking Limited, LLC
Oxford Garage
2165 Kittredge St
Downtown Berkeley
Berkeley, CA 94704"
16,37.87008056,-122.2692972,610,0,"Parking Concepts, Inc.
Allston Way Garage
2061 Allston Way
Berkeley, CA 94704"
17,37.87091389,-122.2700889,720,1,"LAZ Parking Limited, LLC
Center Street Garage
2025 Center St
Downtown Berkeley
Berkeley, CA 94704"
18,37.87050278,-122.270525,23,0,"ParkSmart, Inc.
2109 Milvia St
Berkeley, CA 94704"
19,37.87076944,-122.2720972,150,0,"Douglas Parking, LLC
The Promenade
1917 Addison St
Berkeley, CA 94704"
20,37.85521944,-122.2601111,105,1,"Whole Foods Market Services, Inc.
Wholefoods
3000 Telegraph Ave
Berkeley, CA 94705"
21,37.80408056,-122.2948417,180,0,"BART
BART West Oakland Station
1451 7th St
Oakland, CA 94607"
22,37.80482778,-122.2956222,208,0,"BART
BART West Oakland Station
1428 5th St
Oakland, CA 94607"
23,37.80322778,-122.2882778,179,0,"Caltrans
Caltrans 7th & Linden Park & Ride Lot
500 Linden St
Acorn
Oakland, CA 94607"
24,37.80071389,-122.2775444,712,1,"Alameda County
Oakland Parking Facility - 7th and Jefferson Streets
585 7th St
Old Oakland
Oakland, CA 94607"
29,37.80476389,-122.2755,1461,1,"SP Plus Corporation
City Center West Garage
1250 Martin Luther King Jr Way
Downtown
Oakland, CA 94612"
30,37.80347778,-122.2741861,500,1,"Ace Parking Management, Inc.
Oakland City Center
530 11th St
Downtown
Oakland, CA 94607"
31,37.80306389,-122.2747444,440,0,"City of Oakland
Oakland Convention Center Garage
550 10th St
Downtown
Oakland, CA 94607"
33,37.800975,-122.2747389,100,0,"Douglas Parking, LLC
Old Oakland Lot
822 Washington St
Old Oakland
Oakland, CA 94607"
37,37.80085278,-122.2719722,250,0,"Pacific Park Management, Inc.
The Franklin 88
989 Franklin St
Chinatown
Oakland, CA 94607"
38,37.80073333,-122.2706306,578,1,"Pacific Renaissance Plaza
388 9th St
Chinatown
Oakland, CA 94607"
39,37.801875,-122.2717778,354,0,"Douglas Parking, LLC
Trans Pacific Centre
1000 Broadway
Chinatown
Oakland, CA 94607"
42,37.80334722,-122.2708111,170,0,"Douglas Parking, LLC
Ken's Garage
1330 Broadway
Downtown
Oakland, CA 94612"
43,37.80424722,-122.2707611,100,0,"Douglas Parking, LLC
Douglas Parking Lot #3
1405 Franklin St
Downtown
Oakland, CA 94612"
47,37.79675,-122.2647194,106,0,"BART
BART Lake Merritt Station - Permit Lot
30 8th St
Oakland, CA 94607"
48,37.80035,-122.2651722,767,1,"LAZ Parking Limited, LLC
Alco Park Garage
165 13th St
Lakeside
Oakland, CA 94612"
50,37.80355278,-122.2670861,198,0,"LAZ Parking Limited, LLC
1432 Harrison St
Oakland, CA 94612"
56,37.80643611,-122.2670639,150,1,"Douglas Parking LLC
1721 Webster Street Garage
1721 Webster St
Downtown
Oakland, CA 94612"
57,37.806225,-122.2729306,213,1,"SP Plus Corporation
Dalziel Garage
251 16th Street
Downtown
Oakland, CA 94612"
58,37.80668889,-122.2718972,330,0,"Douglas Parking, LLC
The Rotunda Garage
1616 San Pablo Avenue
Downtown
Oakland, CA 94612"
61,37.81180278,-122.2635278,373,0,"SP Plus Corporation
Franklin Plaza Garage
419 19th Street
Downtown
Oakland, CA 94612"
63,37.80662222,-122.2654722,237,1,"Ace Parking Management, Inc.
Wells Fargo Center
1901 Harrison St
Lakeside
Oakland, CA 94612"
64,37.80751944,-122.2648833,100,1,"ABM Parking Services, Inc.
Lake Merritt Plaza
1999 Harrison St
Lakeside
Oakland, CA 94612"
70,37.82705556,-122.2666611,600,0,"BART
BART MacArthur Station
MacArthur BART Access Rd
Oakland, CA 94609"
71,37.93806389,-122.3453472,160,0,"Richmond's Farmer Market
25th Street & Barrett Avenue
Richmond, CA 94804"
72,37.93574722,-122.3546389,900,1,"BART
Richmond BART Station Garage
269 16th St
Richmond, CA 94801"
73,37.93159167,-122.3284167,660,0,"Macdonald 80 Shopping Center
Macdonald 80 Shopping Center
4500 Macdonald Ave
Richmond, CA 94805-2307"
74,37.92007778,-122.3473194,160,1,"Harbor Gate Shopping Center
2151-2157 Meeker Avenue
Richmond, CA 94804"
75,37.91545,-122.3474667,212,1,"City of Richmond (California)
Marina Park
Esplanade Dr
Richmond, CA 94804"
76,37.92399444,-122.3166333,270,0,"BART
El Cerrito del Norte BART Station - Fee Lot
6400 Cutting Blvd
El Cerrito, CA 94530"
77,37.925325,-122.3181722,81,0,"BART
El Cerrito del Norte BART Station - Permit Lot
6400 Cutting Boulevard
El Cerrito, CA 94530"
78,37.92556667,-122.3165139,142,0,"BART
El Cerrito del Norte BART Station - Fee Lot
6400 Cutting Blvd
El Cerrito, CA 94530"
79,37.92385556,-122.3164333,219,0,"BART
El Cerrito del Norte BART Station - Permit Lot
6400 Cutting Blvd
El Cerrito, CA 94530"
80,37.92446667,-122.3157583,1300,0,"BART
El Cerrito del Norte BART Station - Garage
6400 Cutting Blvd
El Cerrito, CA 94530"
