Zip Code,BEV+PHEV Adoption (% in 2021),
94701,2.857,
94702,5.603,
94703,5.484,
94704,4.016,
94705,9.89,
94706,6.402,
94707,11.199,
94708,11.504,
94709,5.239,
94710,4.669,
94712,2.222,"*Only PHEV, no BEV"
94720,2.44,
94601,1.288,
94602,5.839,
94603,0.814,
94604,0.92,
94605,3.287,
94606,2.184,
94607,3.984,
94608,4.768,
94609,4.265,
94610,6.963,
94611,9.874,
94612,5.18,
94613,0,*Zip code for Mills College at Northeastern University
94614,0,*Zip code for Oakland Airport Fedex facility
94615,6.667,"*Only BEV, no PHEV"
94618,10.362,
94619,4.928,
94620,0.658,"*Only BEV, not PHEV"
94621,0.931,
94622,0,*Zip code for FedEx facility
94623,0.845,"*Only PHEV, no BEV"
94649,0,*Zip code for Ikea
95659,0,*Zip code for BART building?
94660,0,*Zip code for an apartment complex that looks brand new
94661,12.903,
94801,1.513,
94802,0,*Intersection of Roosevelt Ave & Harbour Way in Richmond?
94803,3.272,
94804,2.427,
94805,3.326,
94806,1.628,
94807,3.509,
94808,0,*A singular house in Richmond?
94850,0,*U.S. Post Office  Distribution Center SF/NDC
